"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАЛЬЦЕВА СТАЙЛ""";г. Москва, вн.тер.г. муниципальный округ Пресненский, пер Козихинский Б., д. 12/2, этаж 1, ПОМ. III, КОМН. № 1, №1А
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЭДФОРД""";г. Москва, шоссе Дмитровское, д. 9 стр. 3 офис 449
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЛЕСТА""";г. Москва, ул. Выборгская, д. 16 стр. 4 этаж мансарда пом. I ком. ЧАСТЬ ком. 2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОЛИТЕХ-ПЛЮС""";г. Москва, пер. Наставнический, д. 18/11 стр. 4А офис 2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОЛНА ПОЛИМЕР""";г. Москва, ул. 2-Я Рощинская, д. 4 Э 5 П 1А К 1 каб. 503 Р.М.№VI
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНФЕТНЫЙ ДВОР""";г. Москва, вн.тер.г. муниципальный округ Южное Тушино, ул Сходненская, д. 33, к. 2, стр. 1, этаж 2, ком. 3
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПАНИЯ ПЧЕЛЬНИК""";г. Москва, шоссе Щёлковское, д. 9 этаж П/ пом. I/К 17/О 30
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""6 МИКРОН""";г. Москва, пер. Колодезный, д. 2А стр. 2 этаж 1 пом. XX ком. 12А
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАЛИНКА""";г. Москва, пер. Большой Каретный, д. 8 стр. 1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОНЦЕПТ 28""";г. Москва, набережная Ростовская, д. 5
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОЛИ РУС""";г. Москва, г. Троицк, ул. Промышленная, д. 11
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЧАЙНАЯ КОМПАНИЯ СЛОН""";г. Москва, ул. Адмирала Макарова, д. 2 стр. 1 этаж 2 пом. I ком. 16
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УНИПАП ЭТИКЕТКА""";Московская обл., г. Королёв, ул. Пушкинская (Болшево Мкр), д. 15 пом. LXXI
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАРКЕТ ГРУПП""";г. Москва, вн.тер.г. муниципальный округ Коньково, ул Профсоюзная, д. 71, этаж/помещ. 2/12
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КУЛЬТУРА ПРОИЗВОДСТВА""";г. Москва, ул. Новодмитровская, д. 1 стр. 2 этаж 2 пом. 202
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕГА-ГЭЛАКСИ""";г. Москва, шоссе Хорошёвское, д. 35 к. 1 этаж 4 пом. VIII каб. 5
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦЭЛЕКТРОМОНТАЖ""";г. Москва, ул. Дубнинская, д. 75 литера Б стр. 2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАКЕЛ-СПЕЦОДЕЖДА""";г. Москва, проезд Чермянский, д. 7 офис 2415
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НИКА""";г. Москва, Сосенское пос., д. Николо-Хованское, тер. Снт Лесная Поляна-2, владение 9 стр. 1 этаж 1 офис 1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВЕНТИ""";г. Москва, ул. Бутлерова, д. 17Б Э 2 пом. XI К 69 офис 169
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НОРТОН""";г. Москва, пл. Малая Сухаревская, д. 3 пом. III
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРАТТИ""";г. Москва, шоссе Щёлковское, д. 3 стр. 1 пом. XVII ком. 7
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙКИСЛОРОДМОНТАЖ""";г. Москва, ул. Малая Грузинская, д. 29 к. 3
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭМКА""";г. Москва, вн.тер.г. муниципальный округ Москворечье-Сабурово, ш Каширское, д. 44, к. 1, помещ. I, ком. 10
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АЙТЕК""";г. Москва, ул. Промышленная, д. 11 стр. 3 этаж 5,П I,К 12
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭКОТЕКСТИЛЬ""";г. Москва, туп. 1-Й Тихвинский, д. 5-7 пом. I, ком. 5, офис 23
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""САХАРНАЯ КОМПАНИЯ ""СТОЛИЦА""";г. Москва, ул. Часовая, д. 16 стр. 21 этаж 1 ком. 17
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДРОГЕРИ РУСЬ""";г. Москва, пер. Нижний Сусальный, д. 5 стр. 17 пом. I, ком. 6,№2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАН ДИСТРИБЬЮШН""";г. Москва, проезд 3-Й Силикатный, д. 3 стр. 2 пом. 1 ком. 18
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕДИНТЕРСЕРВИС""";г. Москва, ул. Свободы, д. 35 стр. 21
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙСТАЛЬ""";г. Москва, ул. Угрешская, д. 2 стр. 25 этаж 1 пом. I ком. 3
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ ""ЦВЕТКОМПЛЕКСМЕТАЛЛ""";г. Москва, проспект Рязанский, д. 2 стр. 49 офис 206
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙТЕХНОЛОГИЯ""";Московская обл., г. Лыткарино, ул. Парковая, д. 1 офис 12
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТРАДИ-М""";г. Москва, пер. 1-Й Кадашёвский, д. 11/5 стр. 6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЛЕЙЖЕЛАТИНПРОМ""";г. Москва, ул. Люблинская, д. 42 этаж 2 пом. Л-230 ком. 70
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РИЧ РОЛ""";г. Москва, проезд Нагорный, д. 12/1 стр. 3 этаж 1 ком. 1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ ""СЕМЬ РУЧЬЕВ""";г. Москва, ул. Подъёмная, д. 12 стр. 1 пом. 224
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""УНИХИМТЕК""";Московская обл., г. Подольск, ул. Заводская (Климовск Мкр.), д. 2 к. 121
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЯЗАНСКИЙ ЗАВОД СТАНОЧНОГО ОБОРУДОВАНИЯ""";г. Москва, вн.тер.г. муниципальный округ Хорошевский, ул 5-я Магистральная, д. 20, этаж/помещ. 1/I, ком./офис 1/А8С
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КЛЕЙЖЕЛАТИН-АТ""";г. Москва, ул. Люблинская, д. 42 этаж 2 пом. Л-230
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ НАУЧНО-ПРОИЗВОДСТВЕННОЕ ОБЩЕСТВО ""ЮМАС""";г. Москва, ул. Ярцевская, д. 29 к. 2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТИЛМАСТЕР""";г. Москва, вн.тер.г. муниципальный округ Южное Медведково, проезд Дежнёва, д. 1, помещ. X
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНЖЕНЕРНОЕ ОБОРУДОВАНИЕ""";г. Москва, ул. Покровка, д. 12 стр. 1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МБМ""";г. Москва, пер. Огородная Слобода, д. 12 кв. 36
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЕГАХОЛОД""";г. Москва, ул. Лётчика Бабушкина, д. 11/2 к. 1 пом. V каб. № 2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРМОЗНЫЕ КОЛОДКИ""";г. Москва, проезд Каширский, д. 13 стр. 6 этаж 1 ком. 24
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""7 ВИТРИН""";г. Москва, ул. Большая Косинская, д. 18А стр. 6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""М`АРС ИНТЕРНЕЙШНЛ""";г. Москва, вн.тер.г. муниципальный округ Южное Тушино, ул Новопоселковая, д. 6, к. 217, этаж 3, помещ. 1, КОМ.3
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""Е 95""";г. Москва, ул. 8-Я Текстильщиков, д. 11 офис 314
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЕДАКОЛОР""";г. Москва, вн.тер.г. муниципальный округ Головинский, наб Лихоборская, д. 18А, этаж 3 БЛОК 30 ОФ 1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХИКАРИ""";Московская обл, г.о. Мытищи, д Сгонники, ул Сгонниковская, влд. 4, литер А7
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЙ БИ ИНВЕСТ""";г. Москва, ул. Щербаковская, д. 40 кв. 274
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРДИОМЕД""";г. Москва, проезд 5-Й Донской, д. 15 пом. IV , ком. 26, этаж 4
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭНЕРГОПУСК""";г. Москва, км. Киевское Шоссе 22-Й (П Московский), домовладение 4 стр. 1 этаж 8 блок Б
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННЫЙ ЦЕНТР ЭЛЕКТРИЧЕСКИХ И СТРОИТЕЛЬНЫХ ТЕХНОЛОГИЙ""";г. Москва, ул. Щербаковская, д. 55/35 кв. 7
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРОЙЭВОЛЮЦИЯ""";г. Москва, ул. Щербаковская, д. 35 кв. 152
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМ ГРАНД СТРОЙ""";г. Москва, вн.тер.г. муниципальный округ Басманный, ул Большая Почтовая, д. 26В, стр. 1, этаж 3, офис/кабинет 305/8
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИРБИС""";г. Москва, вн.тер.г. муниципальный округ Москворечье-Сабурово, проезд 1-й Варшавский, д. 2, стр. 26, этаж ПОДВАЛ, помещ. 20
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОКЕАН 66""";Ивановская обл., г. Иваново, ул. Бубнова, д. 5 офис 2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛЕКТРА ПРО""";г. Москва, ул. Малая Семёновская, д. 3А стр. 1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕРВЫЙ ТЕРМОМЕТРОВЫЙ ЗАВОД""";г. Москва, ул. Рябиновая, д. 69 стр. 1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПАРТЭЛ""";г. Москва, вн.тер.г. муниципальный округ Басманный, пер Балакиревский, д. 23, этаж 3, пом/ком/оф 309/1/58
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАЛОЕ ПРОИЗВОДСТВЕННОЕ ПРЕДПРИЯТИЕ УДЛИНИТЕЛЬ""";г. Москва, ул. Бирюлёвская, д. 24 к. 1 пом. 3 ком. 1 И 1А
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ШАНЕ""";г. Москва, ул. Никулинская, д. 27 к. 1 кв. 81
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПЕЧАТНЫЕ МОТОРЫ""";г. Москва, ул. Викторенко, д. 16 стр. 8 этаж 1 пом. II ком. 16
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМТЕХНОЛОГИИ""";г. Москва, ул. Одесская, д. 2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВИНСФЛОРА ТРЕЙДИНГ""";г. Москва, шоссе Очаковское, д. 28 стр. 2 Э 1 пом. 1 ком. 21
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КАРБОН""";г. Москва, ул. Академика Ильюшина, д. 9
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛЬ ПАРАДОР""";г. Москва, вн.тер.г. муниципальный округ Щукино, ул Маршала Рыбалко, д. 2, к. 8, помещ. 207
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СПЕЦИАЛИЗИРОВАННАЯ НАЛАДКА ТЕПЛО-ЭНЕРГЕТИЧЕСКОГО КОМПЛЕКСА""";г. Москва, ул. Воронцовская, д. 15/10 стр. 7 пом. 21Б
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИНТЕЛРЕСУРС""";г. Москва, ул. Красная Сосна, д. 20 стр. 1 этаж 2 пом. 23/1 ком. 1А РМ1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЛОТТА""";г. Москва, ул. Пермская, д. 11 стр. 5
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БОВЕНИТ""";г. Москва, Рязановское пос., тер. Аэропорт Остафьево
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПОЛИМЕР-ИНВЕСТ""";г. Москва, бульвар Петровский, д. 23 этаж / ком. 1/3
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВИВА ГИФТС""";г. Москва, ул. Люсиновская, д. 53 к. 2 офис 1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ ""СИБИРЯК""";г. Москва, ул. Сельскохозяйственная, д. 11 к. 3 этаж 1 пом. II офис 51
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДФИЛЬТР""";г. Москва, ул. Михалковская, д. 63Б стр. 4 офис 433
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРУППА КОМПАНИЙ ЛЕД ЭКРАНЫ""";г. Москва, г. Троицк, пл. Академическая, д. 4 этаж 18 офис А1А
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РИЭЛ""";г. Москва, ул. 2-Я Филевская, д. 7 к. 6 Э/ пом. /К/РМ 1/III/6/5
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""РЕЙНАРС АЛЮМИНИУМ РУС""";г. Москва, проспект Ленинградский, д. 37
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БАСТИОНСТРОЙ""";г. Москва, ул. Скаковая, д. 36 этаж 4 офис 423
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОИЗВОДСТВЕННАЯ КОМПАНИЯ ""ЭБОНИ ИНТЕРИОРС""";г. Москва, ул. Волхонка, д. 6 стр. 1 офис 6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УНИКХЕЛЗ""";г. Москва, проезд 2-Й Рощинский, д. 8 этаж 8 пом. XIII., ком. 52
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ВОЛНА""";г. Москва, ул. Осенняя, д. 23, этаж 6 пом. 1 ком. 9
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КВИНТА ФОРИН ТРЕЙД""";г. Москва, пер. 1-Й Котляковский, д. 3 этаж / пом. / ком. 2/I/1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ХОЛДИНГОВАЯ КОМПАНИЯ ""ЗЕЛЕНЫЙ БЕРЕГ XXI ВЕК""";Московская обл, г.о. Подольск, г Подольск, проезд Гаражный, д. 26Г, стр. 1, этаж 3, помещ. 31
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОФИЛЬ МЕТАЛЛ""";г. Москва, вн.тер.г. муниципальный округ Ясенево, проезд Соловьиный, д. 18А, этаж/помещ./ком./офис 2/I/9А/7
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ОЛЕКС""";г. Москва, ул. Онежская, д. 24 стр. 1 этаж 3 пом. I ком. 30А
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УПАК ТЕХНОЛОДЖИ""";г. Москва, ул. Кондратюка, д. 4
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПАНИЯ ""ГРАВИС""";г. Москва, вн.тер.г. муниципальный округ Пресненский, ул Антонова-Овсеенко, д. 4, эт/пом/ком/офис 1/I/2/1Б
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЦЕНТР ЭФФЕКТИВНЫХ ПРОИЗВОДСТВЕННЫХ РЕШЕНИЙ""";г. Москва, ул. 4-Я 8 Марта, д. 3 стр. 5 пом. / ком. 1/8
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТЕХНОПАРК""";г. Москва, пер. Уланский, д. 14 к. А Э ПОДВАЛ пом. I ком. 2Г
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АМАРКО-СЕРВИС""";г. Москва, ул. Тверская, д. 20/1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АДВАНС СИСТЕМС""";г. Москва, ул. Ольховская, д. 4 к. 2 пом. А7
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ФАБРИКА АРОМАТОВ ""ФАБАРОМ""";г. Москва, шоссе Аминьевское, д. 31
"ЗАКРЫТОЕ АКЦИОНЕРНОЕ ОБЩЕСТВО ""Т.О.Р.""";г. Москва, ул. Электродная, д. 10 к. 11
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГЛАВПРОЕКТ""";г. Москва, ул. Ленинская Слобода, д. 19 Э/ ком. / офис 1/41Х1 д. /Б1 д
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭФФЕКТСПОРТ""";г. Москва, проезд Черницынский, д. 3 офис 4302
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МАНАКОРЛАЙНСТРОЙ""";г. Москва, вн.тер.г. муниципальный округ Марьина роща, проезд 8-й Марьиной Рощи, д. 30, стр. 5, этаж 1, помещ./ком. I/9
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""НПО ПРОМ-ПК""";г. Москва, вн.тер.г. муниципальный округ Москворечье-Сабурово, ш Каширское, д. 49, стр. 10, эт. 1, помещ. №9
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТОРГОВЫЙ ДОМ ""БЕЛКАБ""";Московская обл, г.о. Красногорск, г Красногорск, ул Успенская, д. 4А, офис 404, 406
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮНИО ТРЕЙДИНГ""";г. Москва, пер. Большой Каретный, д. 21 стр. 1 этаж 4 офис 411
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ГРУППА СВК""";г. Москва, вн.тер.г. муниципальный округ Филевский парк, пр-д Багратионовский, д. 7, к. 20А, этаж 7, офис 25
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИННОВАЦИОННЫЕ ПРОЕКТЫ""";г. Москва, вн.тер.г. муниципальный округ Мещанский, ул Трифоновская, д. 45, этаж/помещ. 1/XIIБ, ком./офис 8/08
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АНТЭК""";г. Москва, ул. Полярная, д. 31 стр. 1 пом. 1 ком. 12 офис 51А
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ИСКРА-НЕФТЕГАЗ КОМПРЕССОР""";г. Москва, проезд Научный, д. 14А стр. 3 этаж 1 пом. I ком. 5,6
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЖЕНЕРАЛ-ТРЕЙД""";г. Москва, вн.тер.г. муниципальный округ Соколиная гора, ул Измайловский Вал, д. 20, помещ. XI, этаж/ком. 6/2
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""УЧМЕДПОСОБИЕ""";г. Москва, набережная Бережковская, д. 20 стр. 77 этаж 1 пом. I ком. 74
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ПРОМЫШЛЕННАЯ КОМПАНИЯ ""СПЕЦИАЛЬНЫЕ ТЕХНОЛОГИИ""";г. Москва, ул. Большая Академическая, д. 44 к. 2 этаж 3 пом. 12, 13
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МОСАВТО ТРАКТ ГРУПП""";г. Москва, вн.тер.г. муниципальный округ Отрадное, ш Алтуфьевское, д. 31, стр. 5, помещ. 4
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДОЛТЕКС""";Московская обл., г. Долгопрудный, ул. Дирижабельная, д. 13 кв. 78
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СМАС""";г. Москва, ул. 1-Я Тверская-Ямская, д. 6 стр. 1 этаж 4 ком. Б пом. I ком. 9А офис 44
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""АТЛАНТ"" ЭКСПО";г. Москва, шоссе Дмитровское, д. 116 стр. 1
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""БРИК ТРЕЙДИНГ""";Московская обл, г.о. Люберцы, рп Томилино, ул Гоголя, д. 39/2, ком. 33
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ДЕЖЕСТА""";Московская обл., г. Одинцово, д. Малые Вязёмы, проезд Петровский, владение 5 стр. / литера 2/Х этаж / офис 7/712
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""СТРАЖНИК""";Московская обл, Сергиев Посад г, г.о. Сергиево-Посадский, пр-кт Красной Армии, д. 212Е, литер Б, помещ. 1, КОМ. 4
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""КОМПАНИЯ ПРОМЫШЛЕННОГО АЛЬПИНИЗМА ""РАБОТА НА ВЫСОТЕ""";г. Москва, Московский пос., г. Московский, проезд Радужный, д. 1 пом. этаж 1 пом. V
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""МЦ КРАФТ""";г. Москва, ул. Плеханова, д. 7 ком. № 50
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЭЛИТАСВЕТ""";г. Москва, проезд Одоевского, д. 2А этаж 4 пом. XI ком. 18А
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ЮНИСПОРТС""";Московская обл., г. Красногорск, д. Гольево, ул. Центральная к. 6Б литера 1Б4
"ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ ""ТАРМИС""";г. Москва, ул. Митинская, д. 55 кв. 58
